,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,{'ALARM CLOCK BAKELIKE GREEN'},{'ALARM CLOCK BAKELIKE PINK'},0.09693877551020408,0.10204081632653061,0.07397959183673469,0.7631578947368421,7.478947368421053,0.06408788004997917,3.7913832199546493
1,{'ALARM CLOCK BAKELIKE PINK'},{'ALARM CLOCK BAKELIKE GREEN'},0.10204081632653061,0.09693877551020408,0.07397959183673469,0.725,7.478947368421053,0.06408788004997917,3.283858998144712
2,{'ALARM CLOCK BAKELIKE GREEN'},{'ALARM CLOCK BAKELIKE RED'},0.09693877551020408,0.09438775510204081,0.07908163265306123,0.8157894736842106,8.642958748221908,0.06993179925031237,4.916180758017496
3,{'ALARM CLOCK BAKELIKE RED'},{'ALARM CLOCK BAKELIKE GREEN'},0.09438775510204081,0.09693877551020408,0.07908163265306123,0.8378378378378379,8.642958748221908,0.06993179925031237,5.568877551020412
4,{'ALARM CLOCK BAKELIKE RED'},{'ALARM CLOCK BAKELIKE PINK'},0.09438775510204081,0.10204081632653061,0.07397959183673469,0.7837837837837838,7.681081081081081,0.0643481882548938,4.153061224489796
5,{'ALARM CLOCK BAKELIKE PINK'},{'ALARM CLOCK BAKELIKE RED'},0.10204081632653061,0.09438775510204081,0.07397959183673469,0.725,7.681081081081081,0.0643481882548938,3.293135435992579
6,{'ALARM CLOCK BAKELIKE RED'},{'ROUND SNACK BOXES SET OF4 WOODLAND'},0.09438775510204081,0.15816326530612246,0.05102040816326531,0.5405405405405406,3.4176111595466434,0.036091732611411916,1.832232893157263
7,{'ROUND SNACK BOXES SET OF4 WOODLAND'},{'ALARM CLOCK BAKELIKE RED'},0.15816326530612246,0.09438775510204081,0.05102040816326531,0.3225806451612903,3.4176111595466434,0.036091732611411916,1.3368561710398443
8,{'CHILDRENS CUTLERY DOLLY GIRL'},{'CHILDRENS CUTLERY SPACEBOY'},0.07142857142857142,0.06887755102040816,0.06377551020408163,0.8928571428571429,12.962962962962965,0.05885568513119534,8.690476190476195
9,{'CHILDRENS CUTLERY SPACEBOY'},{'CHILDRENS CUTLERY DOLLY GIRL'},0.06887755102040816,0.07142857142857142,0.06377551020408163,0.925925925925926,12.962962962962965,0.05885568513119534,12.535714285714306
10,{'DOLLY GIRL LUNCH BOX'},{'SPACEBOY LUNCH BOX'},0.09948979591836735,0.125,0.07142857142857142,0.717948717948718,5.743589743589744,0.0589923469387755,3.1022727272727275
11,{'SPACEBOY LUNCH BOX'},{'DOLLY GIRL LUNCH BOX'},0.125,0.09948979591836735,0.07142857142857142,0.5714285714285714,5.743589743589744,0.0589923469387755,2.101190476190476
12,{'LUNCH BAG APPLE DESIGN'},{'LUNCH BAG RED RETROSPOT'},0.125,0.15306122448979592,0.0663265306122449,0.5306122448979592,3.466666666666667,0.04719387755102041,1.8043478260869565
13,{'LUNCH BAG RED RETROSPOT'},{'LUNCH BAG APPLE DESIGN'},0.15306122448979592,0.125,0.0663265306122449,0.43333333333333335,3.466666666666667,0.04719387755102041,1.5441176470588236
14,{'LUNCH BAG SPACEBOY DESIGN'},{'LUNCH BAG APPLE DESIGN'},0.11989795918367346,0.125,0.06377551020408163,0.5319148936170213,4.25531914893617,0.04878826530612245,1.8693181818181819
15,{'LUNCH BAG APPLE DESIGN'},{'LUNCH BAG SPACEBOY DESIGN'},0.125,0.11989795918367346,0.06377551020408163,0.5102040816326531,4.25531914893617,0.04878826530612245,1.796875
